ITEM_CTG_ID,ITEM_CTG_DESC,ITEM_GRP_ID,ITEM_GRP_DESC,GINNO,GINDATE,ENTITY,SEGMENT,COST_CENTER,C_CENTER_ID,C_CENTER_NAME,JOBNO,UNITNO,RATE,MACHINENO1,MARATE,REMARKS,CAPITAL,QUANTITY,ITEMNO,INVENTORY_ITEM_NO,INV_ITEM_DESCRIPTION,UOM_DESC,AMOUNT1,BAL1,MDESC1,LASTISSUE1,LASTISSUEDT,COSTCENTER,SUMQTY,SUMAMT,GAP,GAMOUNT,CODE1,CODE2,GQTY,PERIOD
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,786211,01-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,70854.7,,,,,1,39761,39761,AIR CONDITIONER 1.5 TON SPLIT GREE INVERTER TYPE (Fixed-Local),NOS,70854.7,0,,,,,1,70854.7,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,794372,31-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,65641,,,,,2,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,131282,0,,,,,2,131282,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,801072,28-Nov-20,,,90175,90175,YTML-Stitching-YTM-07-General-Cutting-General,,,76924,,,,,1,43083,43083,AIR CONDITIONER 2 TON (GREE) (Fixed-Local),NOS,76924,0,,,,,1,76924,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,806914,23-Dec-20,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,16500,,,,,2,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,33000,4,,,,,2,33000,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,815224,22-Jan-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,63590,,,,,4,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,254360,2,,,,,4,254360,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,819105,04-Feb-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,93590,,,,,1,7183322005,7183322005,SPLIT AIR CONDITIONER 2 TON WITH INVERTER (GREE) (L-F) (Fixed-Local),NOS,93590,0,,,,,1,93590,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,822055,19-Feb-21,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,63590,,,,,2,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,127180,0,,,,,2,127180,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,830256,20-Mar-21,,,90249,90249,YTML-Stitching-YTM-07-UNIT 30 YTM 7 Bldg A-Third Floor-Sewing-General,,,16500,,,,,1,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,16500,3,,,,,1,16500,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,832287,27-Mar-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,164102.57,,,,,8,7221322001,7221322001,AIR CONDITIONER (INVERTER) FLOOR STANDING 4 TONS (---) (L-F) (Fixed-Local),NOS,1312820.56,0,,,,,8,1312820.56,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,835138,10-Apr-21,,,70249,70249,YTML-Stitching-YTM-07-General - Stitching-Training Center-General,,,16500,,,for training room,,1,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,16500,2,,,,,1,16500,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,849380,12-Jun-21,,,90248,90248,YTML-Stitching-YTM-07-Stitching - Central-Cutting-General,,,16500,,,,,1,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,16500,1,,,,,1,16500,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,849829,12-Jun-21,,,90183,90183,YTML-Stitching-YTM-07-General-Store-Accessories Store,,,72650,,,,,2,7232422007,7232422007,AIR CONDITIONER 1.5 TON SPLIT INVERTER TYPE (HAIER) (L-F) (Fixed-Local),NOS,145300,0,,,,,2,145300,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,851158,17-Jun-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,71517.5,,,,,7,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,500622.5,1,,,,,11,921134.5,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,851158,17-Jun-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,105128,,,,,4,7183322005,7183322005,SPLIT AIR CONDITIONER 2 TON WITH INVERTER (GREE) (L-F) (Fixed-Local),NOS,420512,0,,,,,11,921134.5,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,860253,28-Jul-21,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,71517.5,,,,,1,42987,42987,AIR CONDITIONER 1.5 TON (GREE G10 INVERTER) (Fixed-Local),NOS,71517.5,0,,,,,1,71517.5,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,874998,24-Sep-21,,,90202,90202,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Sewing-General,,,16500,,,,,1,7201821003,7201821003,AIR CONDITIONER SPLIT A/C COMPRESSOR ROTARY 1.5TON FOR MODEL# KEE 18S (KENWOOD) (L-C) (Consumable-Local),NOS,16500,0,,,,,1,16500,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,877906,06-Oct-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,72650,,,,,2,7232422007,7232422007,AIR CONDITIONER 1.5 TON SPLIT INVERTER TYPE (HAIER) (L-F) (Fixed-Local),NOS,145300,8,,,,,2,145300,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,879490,13-Oct-21,,,70249,70249,YTML-Stitching-YTM-07-General - Stitching-Training Center-General,,,100855,,,,,1,25225,25225,AIR CONDITIONER 2 TON SPLIT TYPE HAIER (Fixed-Local),NOS,100855,1,,,,,1,100855,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,884628,03-Nov-21,,,90311,90311,YTML-Stitching-YTM-07-UNIT 43 YTM 7 Bldg F-Third Floor-Sewing-General,,,72650,,,,,8,7232422007,7232422007,AIR CONDITIONER 1.5 TON SPLIT INVERTER TYPE (HAIER) (L-F) (Fixed-Local),NOS,581200,0,,,,,9,688892,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,884628,03-Nov-21,,,90311,90311,YTML-Stitching-YTM-07-UNIT 43 YTM 7 Bldg F-Third Floor-Sewing-General,,,107692,,,,,1,6517922005,6517922005,"AIR CONDITIONER WITH INVERTER 2 TON, SPLIT TYPE (GREE) (L-F) (Fixed-Local)",NOS,107692,0,,,,,9,688892,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,886210,08-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,137863,,,,,1,45426,45426,AIR CONDITIONER 2 TON FLOOR STANDING (Fixed-Local),NOS,137863,0,,,,,2,238718,,38086160.02,,,783755340.3,
6,AIR CONDITIONER,22,ELECTRICAL EQUIPMENT,886210,08-Nov-21,,,90310,90310,YTML-Stitching-YTM-07-UNIT 42 YTM 7 Bldg F-Second Floor-Sewing-General,,,100855,,,,,1,25225,25225,AIR CONDITIONER 2 TON SPLIT TYPE HAIER (Fixed-Local),NOS,100855,0,,,,,2,238718,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",785726,01-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,5000,,,,,4,32017,32017,L-BAND FOR SWITH TRACK (ALMUNIUM) (Consumable-Local),NOS,20000,0,,,,,4,20000,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",794327,31-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,92,,,,,100,5786521001,5786521001,"ANGLE MS 1-1/2""X1-1/2"" 3/16"" . (---) (L-C) (Consumable-Local)",RFT,9200,0,,,,,100,9200,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",798198,17-Nov-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,162,,,,,80,5701322001,5701322001,"MS ANGLE 2""X2""X1/4"" (---) (L-F) (Fixed-Local)",RFT,12960,0,,,,,80,12960,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",836216,14-Apr-21,,,90230,90230,YTML-Stitching-YTM-07- Bldg B-General-General,,,162,,,,,340,7003821001,7003821001,"MS ANGLE IRON 2X2X1/4"" (---) (L-C) (Consumable-Local)",RFT,55080,0,,,,,340,55080,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",840951,17-May-21,,,90176,90176,YTML-Stitching-YTM-07-Poly Fill Plant-General-General,,,185,,,,,160,5701322001,5701322001,"MS ANGLE 2""X2""X1/4"" (---) (L-F) (Fixed-Local)",RFT,29600,100,,,,,160,29600,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",874095,21-Sep-21,,,90308,90308,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Sewing-General,,,185,,,,,100,5701322001,5701322001,"MS ANGLE 2""X2""X1/4"" (---) (L-F) (Fixed-Local)",RFT,18500,0,,,,,100,18500,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",875869,30-Sep-21,,,90292,90292,YTML-Stitching-YTM-07-UNIT 36 YTM 7 Bldg E-Third Floor-Sewing-General,,,92,,,,,50,5786521001,5786521001,"ANGLE MS 1-1/2""X1-1/2"" 3/16"" . (---) (L-C) (Consumable-Local)",RFT,4600,0,,,,,50,4600,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",881322,21-Oct-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,173.207,,,,,40,7003821001,7003821001,"MS ANGLE IRON 2X2X1/4"" (---) (L-C) (Consumable-Local)",RFT,6928.28,0,,,,,415,56313.85,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",881322,21-Oct-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,151.5607907,,,,,215,6287721001,6287721001,"ANGLE MS 2""X2"" 90 DEGREE . (---) (L-C) (Consumable-Local)",RFT,32585.57,0,,,,,415,56313.85,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",881322,21-Oct-21,,,90267,90267,YTML-Stitching-YTM-07-UNIT 33 YTM 7 Bldg E-Second Floor-Sewing-General,,,105,,,,,160,5897621001,5897621001,"ANGLE MS 2""X2"" 05MM . (---) (L-C) (Consumable-Local)",RFT,16800,0,,,,,415,56313.85,,38086160.02,,,783755340.3,
9,ANGLE,19,"HARDWARE MATERIAL, PIPE & FITTINGS",886395,09-Nov-21,,,90308,90308,YTML-Stitching-YTM-07-UNIT 40 YTM 7 Bldg F-Ground Floor-Sewing-General,,,235,,,,,500,6789622001,6789622001,"ANGLE MS 2""X2"" 6MM . (---) (L-F) (Fixed-Local)",RFT,117500,0,,,,,500,117500,,38086160.02,,,783755340.3,
13,ASSEMBLY,11,SPARE PARTS,661928,26-Feb-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,180,,,,,1,22639,22639,FEED BAR ASSEMBLY (SO2569121) (BROTHER S/N MACHINE S-6200A) (Consumable-Imported),PCS,180,0,,,,,1,180,,38086160.02,,,783755340.3,
13,ASSEMBLY,11,SPARE PARTS,676763,11-Jun-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,623.57,,,,,2,22596,22596,FEED BAR ASSEMBLY (PART # S02569121) (BROTHER S/N MODEL # S6200A) (Consumable-Local),PCS,1247.14,0,,,,,2,1247.14,,38086160.02,,,783755340.3,
13,ASSEMBLY,11,SPARE PARTS,808354,24-Dec-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,2650,,,,,4,52715,52715,THREAD TENSION BRACKET ASSY P # SB3572001 (Consumable-Imported),PCS,10600,46,,,,,4,10600,,38086160.02,,,783755340.3,
13,ASSEMBLY,11,SPARE PARTS,828168,12-Mar-21,,,90202,90202,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Sewing-General,,,2650,,,,,1,52715,52715,THREAD TENSION BRACKET ASSY P # SB3572001 (Consumable-Imported),PCS,2650,45,,,,,1,2650,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,749223,12-Mar-20,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,5697.496667,,,,,2,6860011004,6860011004,"THREAD TENSION ASM PART# 400-03633 ""A"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,11394.99333,10,,,,,2,11394.99333,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,749346,13-Mar-20,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,5697.496667,,,,,1,6860011004,6860011004,"THREAD TENSION ASM PART# 400-03633 ""A"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,5697.496667,9,,,,,1,5697.496667,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,757039,16-May-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,5697.496667,,,,,1,6860211004,6860211004,"THREAD TENSION ASM PART# 400-03634, ""B"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,5697.496667,11,,,,,1,5697.496667,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,775276,11-Aug-20,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,5697.496667,,,,,1,6860011004,6860011004,"THREAD TENSION ASM PART# 400-03633 ""A"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,5697.496667,8,,,,,1,5697.496667,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,780522,04-Sep-20,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,5697.496667,,,,,1,6860211004,6860211004,"THREAD TENSION ASM PART# 400-03634, ""B"" M# LZ-2290ASR (JUKI) (I-C) (Consumable-Imported)",NOS,5697.496667,2,,,,,1,5697.496667,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,807531,21-Dec-20,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,1275,,,,,1,43125,43125,"FEED BAR ASSY, P # SB3794001 (Consumable-Local)",NOS,1275,9,,,,,1,1275,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,838557,23-Apr-21,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,1275,,,,,1,43125,43125,"FEED BAR ASSY, P # SB3794001 (Consumable-Local)",NOS,1275,8,,,,,1,1275,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,857944,14-Jul-21,,,90186,90186,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-Manual,,,1275,,,,,1,43125,43125,"FEED BAR ASSY, P # SB3794001 (Consumable-Local)",NOS,1275,7,,,,,1,1275,,38086160.02,,,783755340.3,
13,ASSEMBLY,18,MECHANICAL,869363,02-Sep-21,,,90249,90249,YTML-Stitching-YTM-07-UNIT 30 YTM 7 Bldg A-Third Floor-Sewing-General,,,1275,,,,,2,43125,43125,"FEED BAR ASSY, P # SB3794001 (Consumable-Local)",NOS,2550,5,,,,,2,2550,,38086160.02,,,783755340.3,
21,BAND,19,"HARDWARE MATERIAL, PIPE & FITTINGS",810457,06-Jan-21,,,90187,90187,YTML-Stitching-YTM-07-UNIT 23 YTM 7 Bldg A-First Floor-Sewing-General,,,10.04,,,,,100,6007222002,6007222002,"PVC BAND 3/4"" (ADAMJEE) (L-F) (Fixed-Local)",NOS,1004,0,,,,,100,1004,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,648090,03-Jan-19,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,95,,,FOR BOTH BUILDING USE IN SEWING MACHINES,,3,43093,43093,NEEDLE BAR P # 110-91303 WITH BUSH P # B1403-553 S/N (Consumable-Local),NOS,285,0,,,,,3,285,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,784520,21-Sep-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,100,,,,,2,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200,46,,,,,2,200,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,784875,23-Sep-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,100,,,,,1,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,100,45,,,,,1,100,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,785177,24-Sep-20,,,90202,90202,YTML-Stitching-YTM-07-UNIT 28 YTM 7 Bldg B-Second Floor-Sewing-General,,,100,,,,,2,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200,43,,,,,2,200,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,786454,29-Sep-20,,,90178,90178,YTML-Stitching-YTM-07 - Stitching-QUILTING-General,,,100,,,,,5,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,500,38,,,,,5,500,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,786872,01-Oct-20,,,90178,90178,YTML-Stitching-YTM-07 - Stitching-QUILTING-General,,,160,,,,,4,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,640,8,,,,,4,640,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,787081,02-Oct-20,,,90217,90217,YTML-Stitching-YTM-07-UNIT 27 YTM 7 Bldg B-First Floor-Sewing-General,,,100,,,,,2,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,200,36,,,,,2,200,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,788279,06-Oct-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,100,,,,,3,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,300,33,,,,,3,300,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,788282,07-Oct-20,,,90178,90178,YTML-Stitching-YTM-07 - Stitching-QUILTING-General,,,160,,,,,4,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,640,4,,,,,4,640,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,788652,08-Oct-20,,,90177,90177,YTML-Stitching-YTM-07 - Stitching-QUILTING-Single Needle,,,160,,,,,1,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,160,3,,,,,1,160,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,789519,12-Oct-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,100,,,FOR 20 OLD QUILTING MACHINE REAPIR FROM GODOWN,,10,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,1000,23,,,,,10,1000,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,789855,13-Oct-20,,,40474,40474,YTML-Stitching-YTM-07-General-Sewing-General,,,160,,,,,1,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,160,2,,,,,1,160,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,793297,27-Oct-20,,,90178,90178,YTML-Stitching-YTM-07 - Stitching-QUILTING-General,,,160,,,,,2,20078,20078,NEEDLE BAR BUSH DELTA (COMFORTER (Consumable-Local),PCS,320,0,,,,,2,320,,38086160.02,,,783755340.3,
23,BAR,11,SPARE PARTS,793917,29-Oct-20,,,90192,90192,YTML-Stitching-YTM-07-UNIT 24 YTM 7 Bldg A-Second Floor-Sewing-General,,,100,,,,,3,20063,20063,NEEDLE BAR (110-35003) (JUKI) (Consumable-Local),PCS,300,19,,,,,3,300,,38086160.02,,,783755340.3,
